"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.985825500E0,-6.875781085E-1,-5.006497139E-1,-1.495772728E0
1.995816500E0,-5.954100927E-1,-4.165924805E-1,-1.457418501E0
2.005808500E0,-4.813205000E-1,-3.513372615E-1,-1.343296639E0
2.015800500E0,-3.421892195E-1,-3.553154147E-1,-1.237650316E0
2.025792500E0,-2.117073414E-1,-3.501274726E-1,-1.137719647E0
2.035784500E0,-1.563777892E-1,-2.968622616E-1,-1.059832395E0
2.045776500E0,-1.249702195E-1,-2.234972468E-1,-1.055898973E0
2.055767500E0,-1.302140756E-1,-1.339611724E-1,-1.062029779E0
2.065759500E0,-8.454772336E-2,-2.582978278E-2,-1.082984446E0
2.075751500E0,-5.970336087E-2,1.146375865E-2,-9.994213021E-1
2.085743500E0,-3.080212707E-3,7.280163556E-2,-8.779085594E-1
2.095735500E0,6.022091255E-2,1.644108403E-1,-7.432600468E-1
2.105727500E0,1.115387084E-1,2.116373393E-1,-6.357461232E-1
2.115718500E0,1.159366916E-1,2.653235498E-1,-5.570958102E-1
2.125710500E0,1.037031653E-1,3.652048105E-1,-4.888272285E-1
2.135702500E0,8.693232754E-2,3.558516043E-1,-4.193482733E-1
2.145694500E0,8.297352500E-2,3.497120279E-1,-3.679588491E-1
2.155686500E0,1.016208439E-1,3.754333448E-1,-3.136750531E-1
2.165677500E0,8.488980375E-2,3.807791618E-1,-2.124848932E-1
2.175669500E0,4.032327622E-2,3.971349934E-1,-1.250076234E-1
2.185661500E0,-2.584264666E-2,3.764624548E-1,-6.973681748E-2
2.195653500E0,-9.621187706E-2,3.072700131E-1,-1.743171930E-2
2.205645500E0,-1.753164091E-1,2.762367931E-1,7.689673305E-3
2.215636500E0,-2.227122581E-1,3.397881335E-1,8.125232399E-2
2.225628500E0,-2.403514805E-1,4.315142825E-1,1.522188109E-1
2.235620500E0,-2.368078851E-1,5.816517770E-1,2.696998984E-1
2.245612500E0,-2.658133272E-1,7.959759119E-1,3.837463313E-1
2.255604500E0,-3.234543386E-1,9.420738575E-1,5.227896112E-1
2.265596500E0,-3.171330234E-1,9.475351569E-1,7.204161447E-1
2.275587500E0,-2.450756653E-1,8.860420364E-1,9.950206876E-1
2.285579500E0,-1.812705192E-1,7.160927135E-1,1.316466690E0
2.295571500E0,-1.015412487E-1,4.637596303E-1,1.624149517E0
2.305563500E0,3.432567749E-2,2.398554173E-1,1.968231845E0
2.315555500E0,1.771857639E-1,3.642903060E-2,2.229228748E0
2.325547500E0,3.293337505E-1,-7.707448840E-2,2.308241004E0
2.335538500E0,3.847638930E-1,-3.964236796E-2,2.267239158E0
2.345530500E0,4.008013438E-1,5.287198573E-2,2.222030241E0
2.355523167E0,6.164446836E-1,1.397557631E-1,2.229912872E0
2.365515167E0,8.342416991E-1,2.037968078E-1,2.220406469E0
2.375507167E0,1.067080750E0,2.980194256E-1,2.233076216E0
2.385498167E0,1.314999916E0,3.545874363E-1,2.110906246E0
2.395490167E0,1.505645459E0,3.841053504E-1,1.891980060E0
2.405482167E0,1.572838738E0,3.709333277E-1,1.554505085E0
2.415474167E0,1.559105382E0,2.774530140E-1,1.098945590E0
2.425466167E0,1.470785675E0,1.824685040E-1,5.739188343E-1
2.435458167E0,1.340304619E0,7.039082855E-2,8.627683640E-2
2.445449167E0,1.210177466E0,-9.442639321E-2,-3.807484639E-1
2.455441167E0,9.966463597E-1,-2.593664065E-1,-7.881309950E-1
2.465433167E0,7.886621415E-1,-4.403447476E-1,-1.090399885E0
2.475425167E0,6.311257996E-1,-6.210166946E-1,-1.312194130E0
2.485417167E0,5.651382533E-1,-7.508304369E-1,-1.405891668E0
2.495408167E0,5.402263737E-1,-8.530967769E-1,-1.474915709E0
2.505400167E0,4.943637012E-1,-9.171577021E-1,-1.529400065E0
2.515392167E0,4.810839070E-1,-9.248564386E-1,-1.598687816E0
2.525384167E0,5.103726468E-1,-9.120282322E-1,-1.641449674E0
2.535376167E0,4.849128831E-1,-8.374010959E-1,-1.694824228E0
2.545368167E0,4.149408979E-1,-7.381068957E-1,-1.769012530E0
2.555359167E0,3.549714522E-1,-6.893244526E-1,-1.819285721E0
2.565351167E0,2.924084009E-1,-6.332669038E-1,-1.783312481E0
2.575343167E0,2.754345551E-1,-5.886932865E-1,-1.730312734E0
2.585335167E0,2.092209592E-1,-5.264742342E-1,-1.663272067E0
2.595327167E0,1.999765295E-1,-4.363929069E-1,-1.549962968E0
2.605318167E0,2.459930386E-1,-4.058657634E-1,-1.472738791E0
2.615310167E0,3.260342032E-1,-3.619794863E-1,-1.362393061E0
2.625302167E0,3.478779391E-1,-3.139466563E-1,-1.231447590E0
2.635294167E0,3.583964588E-1,-2.805192938E-1,-1.180152306E0
2.645286167E0,3.541592009E-1,-2.705676252E-1,-1.190500708E0
2.655278167E0,3.427746720E-1,-2.557683223E-1,-1.224472446E0
2.665269167E0,3.210028203E-1,-2.157654735E-1,-1.264329992E0
2.675261167E0,3.243511553E-1,-1.019187230E-1,-1.257996288E0
2.685253167E0,3.709192944E-1,4.641227424E-3,-1.257273572E0
2.695245167E0,4.073641855E-1,1.368298164E-1,-1.241431126E0
2.705237167E0,4.188380306E-1,2.749466050E-1,-1.213418870E0
2.715229167E0,3.794817377E-1,3.867766508E-1,-1.161150025E0
2.725220167E0,3.280847852E-1,4.981301486E-1,-1.119588016E0
2.735212167E0,2.787794548E-1,5.411390510E-1,-1.040871629E0
2.745204167E0,1.802687815E-1,5.841467839E-1,-9.195857584E-1
2.755196167E0,1.080643294E-1,6.487012142E-1,-7.305312431E-1
2.765188167E0,3.322656540E-2,6.392889512E-1,-5.295688730E-1
2.775179167E0,1.774053452E-2,6.772502446E-1,-3.145269924E-1
2.785171167E0,4.568437812E-2,7.336805534E-1,-5.494336188E-2
2.795163167E0,8.548764501E-2,7.475773385E-1,1.475743675E-1
2.805155167E0,1.735729338E-1,7.695073208E-1,3.531993073E-1
2.815147167E0,2.817858190E-1,8.029393610E-1,5.887994134E-1
2.825139167E0,3.898132196E-1,8.093251052E-1,7.956212783E-1
2.835130167E0,4.817338616E-1,8.398627737E-1,9.482581651E-1
2.845122167E0,5.086026581E-1,8.625806683E-1,1.034233870E0
2.855114167E0,4.975803277E-1,9.041172418E-1,1.078066937E0
2.865106167E0,4.488054859E-1,9.804020637E-1,1.046253406E0
2.875098167E0,2.893277953E-1,1.126281323E0,8.904479134E-1
2.885090167E0,2.351256777E-2,1.304663501E0,7.001391703E-1
2.895081167E0,-2.829938721E-1,1.462436289E0,5.786603415E-1
2.905073167E0,-4.129878548E-1,1.524487234E0,6.735711765E-1
2.915065167E0,-4.136656933E-1,1.478461753E0,9.636825353E-1
2.925057167E0,-4.271788279E-1,1.443706781E0,1.363401706E0
2.935049167E0,-3.176362494E-1,1.295664051E0,1.804456013E0
2.945040167E0,-2.721504664E-1,1.027066645E0,2.100397630E0
2.955032167E0,-3.370505037E-1,7.557622710E-1,2.230992268E0
2.965024167E0,-3.944598557E-1,4.858767235E-1,2.224077351E0
2.975016167E0,-5.074396469E-1,2.507283148E-1,2.112249352E0
2.985008167E0,-5.820765772E-1,5.295121551E-2,1.960448032E0
2.995000167E0,-6.062905916E-1,-1.450901780E-1,1.777443631E0
3.004991167E0,-5.470962309E-1,-3.160776740E-1,1.568188739E0
3.014983167E0,-4.705603807E-1,-4.475529027E-1,1.277562826E0
3.024975167E0,-4.654872267E-1,-5.267256644E-1,8.791592789E-1
3.034967167E0,-5.716250082E-1,-4.909807581E-1,3.982164359E-1
3.044959167E0,-7.272130944E-1,-4.065493029E-1,-1.246790099E-1
3.054951167E0,-8.265330224E-1,-4.239801452E-1,-5.201718128E-1
3.064942167E0,-9.408512778E-1,-4.160481048E-1,-7.516192263E-1
3.074934167E0,-1.048675762E0,-3.948721209E-1,-7.964088982E-1
3.084926167E0,-1.106468033E0,-4.438598013E-1,-6.941831964E-1
3.094918167E0,-1.124278944E0,-5.475215793E-1,-4.870999610E-1
3.104910167E0,-1.130846391E0,-6.725075680E-1,-1.792452264E-1
3.114901167E0,-1.023347524E0,-8.031843594E-1,1.864624447E-1
3.124893167E0,-8.704688546E-1,-9.577721697E-1,4.798307025E-1
3.134885167E0,-7.565731336E-1,-1.108003512E0,6.617475218E-1
3.144877167E0,-6.448345967E-1,-1.210466318E0,7.205640793E-1
3.154869167E0,-5.424172524E-1,-1.247760445E0,6.462933308E-1
3.164861167E0,-4.703934061E-1,-1.179442746E0,4.645063198E-1
3.174852167E0,-4.348841425E-1,-1.107838913E0,1.275605178E-1
3.184844167E0,-4.406903546E-1,-9.999016508E-1,-2.561460525E-1
3.194836167E0,-4.761693588E-1,-9.100849101E-1,-6.296702814E-1
